Sr. No.,Name of NPO,Registration No,Registration Type,Address,Primary Sectors,Operational District,Email,Website
228,Cheshire Disability Trust,INR-4-00094-2011-12,Trust,"No 24, 4th main, HAL 2nd stage, Old airport road, Kodihalli, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560008",Differently Abled,ALL,anuradha.patil@cheshiredisability.org,http://cheshiredisability.org/
229,Cheshire Homes India Bangalore Unit,Bom 5 of 1956,Society,"Opp. Manipal Hospital Old Airport Road (next to Bharath Petrol Bunk) Bangalore 560 017 Karnataka , BANGALORE, BENGALURU URBAN (Karnataka) - 560017","Children, Differently Abled, Aged/Elderly",ALL,cheshomebu@gmail.com,http://www.cheshirehomeblr.in/
230,CHIGURU WELLNESS AND CULTURAL TRUST,BNGBSK4152020-21,Trust,"NO.2397/29, 2ND FLOOR 18TH MAIN ROAD KUMARSWAMY LAYOUT 2ND STAGE BANGALORE ,KARNATAKA-560078 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560078","Art & Culture, Education & Literacy, Environment & Forests, Women's Development & Empowerment, Skill Development",BENGALURU URBAN,spnkottary@gmail.com,
231,CHINKAR FOUNDATION AND CHARITABLE TRUST,NGB-4-00224-2017-18,Trust,"Savithramma Layout,Santhemala, Thavarekere, Bengaluru562130 , Bangalore, BENGALURU URBAN (Karnataka) - 562130","Children, Differently Abled, Aged/Elderly, Environment & Forests",ALL,chinkarfoundation@gmail.com,
232,CHINMAYA SEVA SAMSTHE,BLU-S534-2005-06,Society,"No.441/1, 6th Cross, Keerthi Layout, Chandapura, Bangalore - 560099 , BANGALORE, BENGALURU URBAN (Karnataka) - 560099","Art & Culture, Children, Civic Issues, Dalit Upliftment, Differently Abled",ALL,chinmayasevasamsthe@gmail.com,
233,CHINMAYI NIDHI FOUNDATION,MDG-4-00015-2023-24,Trust,"No 7. Near Comfort Inn Hotel, 11th main 1st stage, 1st Phase, Gokul Extension, Mattikeremain road, Yeshwanthpur, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560054","Agriculture, Art & Culture, Children, Differently Abled, Disaster Management",ALL,madhudl_honey@yahoo.com,
234,CHIRANTHANA,YPR-4-00121-2013-14,Trust,"Chiranthana, O-S-3 , 1st cross road, Sundernagar, Gokula , Bangalore, BENGALURU URBAN (Karnataka) - 560054","Art & Culture, Differently Abled, Education & Literacy, Human Rights, Labour & Employment",ALL,chira.workshop@gmail.com,http://www.chiranthana.in/
235,CHRIST JESUS GLORIOUS MISSION SOCIO WELFARE TRUST,BNS-4-00282-2022-23,Trust,"NO 34 TRINITY COMPLEX 2ND FLOOR 80 FEET ABOVE SBI BANK HBR LAYOUT KALYANNAGAR POST BANGALORE , Bangalore, BENGALURU URBAN (Karnataka) - 560043","Children, Dalit Upliftment, Differently Abled, Education & Literacy, Aged/Elderly",ALL,christjesusgloriousmission.bj@gmail.com,
236,CHRISTIAN COUNSELORS ASSOCIATION OF INDIA,HLS-4-00265-2021-22,Trust,"2989, 12 MAIN HAL 2ND STAGE, INDIRANAGAR, BANGLORE , Bengaluru North, BENGALURU URBAN (Karnataka) - 560008","Children, Education & Literacy, Human Rights, Scientific & Industrial Research, Skill Development",BENGALURU URBAN,christiancounselorsassociation@gmail.com,
237,Christo Kingdom Foundation,HBB-4-00156-2022-23,Trust,"No 2B, Christo Tower, Bileshivale, Opp Essel Garden, Aavalahalli Main Road, Bangalore - 560 077 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560077","Art & Culture, Education & Literacy, Aged/Elderly, Food Processing, Religious",BENGALURU URBAN,Christokingdomfoundation@gmail.com,
238,Church of South India Vishranthi Nilayam,112 of 1947-48,Section 8 Company,"CSI Womens Order Vishranthi Nilayam No.18 Infantry Road Bangalore 560001 , Bangalore, BENGALURU URBAN (Karnataka) - 560001","Children, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water",ALL,vishranthinilayam@yahoo.com,https://www.vncsiwomenshouse.info/
239,CHURCHES COUNCIL FOR CHILD AND YOUTH CARE,S.No. 670 of 1994 - 95,Society,"26 Lavelle Road Bangalore 560001 , Bangalore, BENGALURU URBAN (Karnataka) - 560001","Children, Differently Abled, HIV/AIDS, Vocational Training",ALL,cccyc.bangalore@gmail.com,
240,CIPHER Foundation,U88900KA2025NPL198782,Section 8 Company,"A 304 Vedant Vayun Begur Koppa Road Yelenhalli Bangalore-58 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560068",Differently Abled,NAGPUR,khan.shakeebahmed@gmail.com,
241,CLARENCE HIGH SCHOOL,094420138,Trust,"No.8, Pottery Road, Richards Town, Bangalore -560005 , Bangalore, BENGALURU URBAN (Karnataka) - 560005","Children, Differently Abled, Education & Literacy",ALL,finance@clarencehighschool.in,
242,CLUNY SOCIAL SERVICE TRUST,BDH-4-00037-2007-08,Trust,"PREETHISADAN, CLUNY PROVINCIALATE, BANGALORE, BAGALUR VIA, KANNUR P.O- 562149 , BANGALORE, BENGALURU URBAN (Karnataka) - 562149","Children, Differently Abled, Aged/Elderly, HIV/AIDS, Legal Awareness & Aid",ALL,clunybangalore@gmail.com,
243,COCHLEAR IMPLANT GROUP OF INDIA,728/2003-04,Society,"No.81, Ashadeep 2nd Main, 1st cross, Vysya Bank Colony, BTM Layout, 2nd Stage , Bangalore, BENGALURU URBAN (Karnataka) - 560076",Differently Abled,ALL,drmohnish.aiims@gmail.com,https://www.cigi.in/
244,COGNITIVECOVEFOUNDATION,U85109KA2024NPL189417,Section 8 Company,"Kyalasanahalli, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560077","Differently Abled, Education & Literacy",ALL,cognitivecovefoundation@gmail.com,
245,Colours Learning Education Trust,943/2015-16,Trust,"No 3030 13th Main, HAL 3RD STAGE,Indiranagar, Bangalore-560008 , Bangalore, BENGALURU URBAN (Karnataka) - 560008",Differently Abled,ALL,colourslearning@gmail.com,http://www.colourslearning.com/
246,COMPASSION MINISTRIES,BKIV1311/12,Trust,"230, 6th Cross, Vishweswaraiah Layout, K.G Halli, Jalahalli West S.O, Bangalore North, BANGALORE, 560015, Karnataka, INDIA , Bengaluru North, BENGALURU URBAN (Karnataka) - 560015","Children, Differently Abled, Education & Literacy, Youth Affairs, Religious",BENGALURU URBAN,compassionministries1999@gmail.com,
247,COMPASSION MIRACLE MISSION,CMP-4-00261-2014-15,Trust,"No 54, Ground floor, 1st cross, 1st main, vittal Nagar, Bangalore-560026 , Bangalore, BENGALURU URBAN (Karnataka) - 560026","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,compassion.miracle@gmail.com,
248,Concern For India Foundation,DRB/SOR/111/15-16,Society,"No. 8, 1st Cross, Sri Sai Nagar, Arehalli Village, Utharahalli, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560061","Agriculture, Differently Abled, Health & Family Welfare, Nutrition, Right to Information & Advocacy",ALL,concernforindiafoundation@gmail.com,
249,CONNECT2ROOTS FOUNDATION,U86909KA2023NPL176223,Section 8 Company,"3213, PRESTIGE KEY GARDEN,YEMALUR,MARATHAHALLI COLONY, BANGALORE NORTH, BANGALORE -560037 KARNATAKA , Bangalore, BENGALURU URBAN (Karnataka) - 560037","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,1mail2rajeev@gmail.com,
250,CORONA FOUNDATION,BKIV04/2021-2022,Trust,"Corona Foundation #20 , 1 Main Road Domlur Layout Bangalore 560071 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560071","Children, Dalit Upliftment, Health & Family Welfare, HIV/AIDS, Science & Technology",BENGALURU URBAN,dr.raj23@gmail.com,
251,COURTESY FOUNDATION,BNG U-KNGR/647/2004-2005,Trust,"No.8, Pottery Road, Richards Town, Bangalore -560005, Bangalore, BENGALURU URBAN (Karnataka) - 560005","Children, Education & Literacy, Aged/Elderly, Labour & Employment, Vocational Training",BENGALURU URBAN,info@courtesyfoundation.org,
252,Craftizen Foundation,103805,Section 8 Company,"Indiranagar , Bangalore, BENGALURU URBAN (Karnataka) - 560038",Differently Abled,BENGALURU URBAN,mayura@craftizen.org,https://ngodarpan.gov.in/www.craftizen.org
253,CREATIVE CULTURAL YOUTH ACADEMY,BNG(U)BYP/34/2014-2015,Trust,"NO 932 JAKKURLAYOUT JAKKUR MAIN ROAD OPP TO A N T ACADEMY BANGALORE NOTH BANGALORE-560064 , BANGALORE, BENGALURU URBAN (Karnataka) - 560064","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Civic Issues",ALL,ccyamc@gmail.com,
254,CREATIVE VISION SOCIETY,1980/2008-2009,Society,"Aster 12 E, KLASSIK LANDMARK APPARTMENT, Junnasandra, Kasavanahalli, BENGALURU-560035 KARNATAKA , BENGALURU, BENGALURU URBAN (Karnataka) - 800013","Art & Culture, Children, Civic Issues, Differently Abled, Education & Literacy",ALL,creativevisionsociety@gmail.com,
255,CURABLE CANCER IN KIDS,AABTC1114E,Trust,"5 O, LANGFORD GARDEN,SHAUGHNESSY ROAD , Bengaluru North, BENGALURU URBAN (Karnataka) - 560025","Differently Abled, Drinking Water, Education & Literacy, Health & Family Welfare",BENGALURU URBAN,dr_sumangupta@yahoo.com,
256,D.K. MOHAN CHARITABLE TRUST,00147,Trust,"no 264 Bajaj Layout, Devasandra, Benagluru , Bengaluru East, BENGALURU URBAN (Karnataka) - 560036","Civic Issues, Dalit Upliftment, Education & Literacy, Minority Issues, Women's Development & Empowerment",BENGALURU URBAN,dkmohancharitabletrust@gmail.com,
257,DAARIDEEPA FOUNDATION,DNH-4-00578-2023-24,Trust,"NO 731A, PUTTAPPA TEMPLE STREET, NEAR OLD BUS STAND, DEVANAHALLI , Bangalore, BENGALURU URBAN (Karnataka) - 562110","Children, Differently Abled, Drinking Water, Education & Literacy, Health & Family Welfare",ALL,amithajoshma@gmail.com,https://daarideepafoundation.com/
258,DADA AMAR CHARITABLE TRUST,223/81-82/PAGE NO.88/VOL.119,Trust,"No. 12, 2nd Cross, Nehrunagar, , Bangalore, BENGALURU URBAN (Karnataka) - 560020","Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,ashok_darya@hotmail.com,
259,Dairathul Islam Religious & welfare Trust,991,Trust,"No. 41, 4th main Road, New Gurupanpalya , Bannergatta Road, , Bengaluru North, BENGALURU URBAN (Karnataka) - 560029","Children, Education & Literacy, Environment & Forests, Health & Family Welfare, Labour & Employment",BENGALURU URBAN,dairathulislamtrust@gmail.com,
260,DARN Foundation,306/18-19,Trust,"No 19 and 20, 1st and 2nd Cross, 1st Avenue Thimma Reddy Layout, Horamavu, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560043","Agriculture, Animal Husbandry, Dairying & Fisheries, Children, Civic Issues, Differently Abled",ALL,darnfoundation@gmail.com,http://darn.foundation/
261,DARUL ULOOM MOHAMMEDIYA ABRARUL QURAN TRUST,BNG (U) YLNK/226/2018-19,Trust,"NO.36, SATHNUR VILLAGE, BAGALUR POST, JALA HOBLI , BANGALORE, BENGALURU URBAN (Karnataka) - 562149","Differently Abled, Education & Literacy, Aged/Elderly, Human Rights, Skill Development",ALL,sh6224942@gmail.com,
262,DAWAT-E-ISLAMI KARNATAKA,GAN-4-00348-2020-21,Trust,"D.NO 28, SYED HUSAIN SAHAB CROSS, EID GAH MAIN ROAD, BHOOPASANDRA, BANGALORE-560094 , BANGALORE, BENGALURU URBAN (Karnataka) - 560094","Children, Differently Abled, Education & Literacy, Vocational Training, Skill Development",ALL,dawateislamikarnataka@gmail.com,
263,DawnVik Foundation,U88900KA2025NPL200818,Section 8 Company,"No 19 and 20, 2nd Floor, 1st Cross, 1st Avenue, Hanumantha Reddy Layout, Kallumantapa Horamavu, Bangalore- 560043, Karnataka , Bengaluru North, BENGALURU URBAN (Karnataka) - 560043","Disaster Management, Education & Literacy, Health & Family Welfare, Labour & Employment, Skill Development",BENGALURU URBAN,prathibhakodi@gmail.com,http://dawnvik.foundation/
264,DAYA JYOTHI TRUST,BNS-4-01474-2024-25,Trust,"no 16 11th cross brindavan layout horamavu , Bengaluru North, BENGALURU URBAN (Karnataka) - 560043",Education & Literacy,BENGALURU URBAN,dayajyothi25@gmail.com,
265,DEEPASHRI FOUNDATION,SRI-4-00031-2022-23,Trust,"NO 19 BHAVANINAGAR 2ND MAIN ROAD RAILWAY MENIS HOUSING CO OPERATIVE SOCIETY BANGALORE KARNATAKA - 560056 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560056","Differently Abled, Drinking Water, Education & Literacy, Aged/Elderly, Health & Family Welfare",BENGALURU URBAN,deepashrifoundation@gmail.com,
266,DEEPBLUE FOUNDATION,169156,Section 8 Company,"352, NAGENDRA BLOCK, 10TH MAIN ROAD BSK ISTAGE BANGALORE Bangalore KA 560050 , BANGALORE, BENGALURU URBAN (Karnataka) - 560050","Agriculture, Art & Culture, Biotechnology, Children, Civic Issues",ALL,Originsridhar@gmail.com,
267,DEEPH TRUST,VJN-4-00356-2016-17,Trust,"No.2932/A, New Corporation No.8, 14th Main Road,R.P.C Layout, Attiguppe, Vijayanagara , Bangalore, BENGALURU URBAN (Karnataka) - 560104","Children, Differently Abled, Disaster Management, Education & Literacy, Aged/Elderly",ALL,chandru28dec@gmail.com,
268,Defence & IT Employees housing welfare trust,NGB-4-00066-2025-26,Trust,"No 4 1st floor , Syndicate bank colony road , kamakshipalya bangalore , Bengaluru South, BENGALURU URBAN (Karnataka) - 560079","Housing, Information & Communication Technology, Labour & Employment, Land Resources, Urban Development & Poverty Alleviation",BENGALURU URBAN,kiranm2305@gmail.com,
269,Desh Bhandu Foundation Trust,BNS-4-00010,Trust,"87,1st Cross Kaveri Road, Udaya Nagar, Bangalore-560016 , Bangalore, BENGALURU URBAN (Karnataka) - 560016","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Civic Issues",ALL,deshbhandufoundation05@gmail.com,
270,DESTINY PROJECT,BK IV BNG-BMH 575/2024-25,Trust,"No. 677, 1st Floor, Desk 186A, 27th Main, 13th Cross, HSR Layout, Sector 1, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560102","Art & Culture, Children, Differently Abled, Education & Literacy, Information & Communication Technology",ALL,ntat.tewari@gmail.com,
271,Devanahalli Sarbojanin Puja Samiti,BNS-4-00495-2025-26,Trust,"B302 Fortuna Krrish Apt, Kalkere, Horamavu post , Bengaluru North, BENGALURU URBAN (Karnataka) - 560043","Art & Culture, Children, Differently Abled, Education & Literacy, Aged/Elderly",BENGALURU RURAL,info@dspsbangalore.org,https://ngodarpan.gov.in/www.dspsbangalore.org
272,DEVATHA SREERAMIAH CHETTY CHARITIES,AABAD8723FE20231,Trust,"NO.46/A, 1ST MAIN ROAD, JP NAGAR SARAKKI, INDUSTRIAL LAYOUT, 3RD PHASE, BENGALURU-560078 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560078","Children, Civic Issues, Differently Abled, Education & Literacy, Aged/Elderly",BENGALURU URBAN,pradeep.devatha@gmail.com,
273,DEVMUK APARTMENT OWNERS WELFARE ASSOCIATION,DRB-3/SOR/316/2016-17,Society,"No.97/4,Devmuk Apatments,9th Main Road,Bilekhalli,Bengaluru-560076 , Bengaluru, BENGALURU URBAN (Karnataka) - 560076","Differently Abled, Education & Literacy",ALL,devmukhownersassociation@gmail.com,
274,Dharithree,344/03-04,Trust,"No.46,1st main, behind TTD temple, Vyalikavall, Bangalore-560003 , Bangalore, BENGALURU URBAN (Karnataka) - 560003","Differently Abled, Education & Literacy, Vocational Training",ALL,dharithreee@gmail.com,http://www.dharithree.org/
275,DHARMA GITA FOUNDATION,U96906KA2023NPL178356,Section 8 Company,"No-731, 26th Main Road, 11th B Cross RD, 1st SEC, Bangalore, South, HSR Layout S.O, BANGALORE,Karnataka,INDIA,560102 , BANGALORE, BENGALURU URBAN (Karnataka) - 560102","Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children, Civic Issues",ALL,bhavaoct20@gmail.com,
276,Dhruvatare Foundation,BK/IV/762/2021-22,Trust,"No.3 Sobagu Nilaya behind Ganapathi Temple KSRTC Layout Chikkalasandra Bangalore 560061 , Bangalore, BENGALURU URBAN (Karnataka) - 560061","Children, Differently Abled, Disaster Management, Education & Literacy, Aged/Elderly",ALL,dhruvatarefoundation@gmail.com,
277,DHYANA JYOTHI TRUST,YPR-4-00004-2012-13,Trust,"Cloistered Carmel Annexe 14, Ali Asker Road Bangalore - 560052 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560010","Art & Culture, Differently Abled, Information & Communication Technology",ALL,nbjmonthly@gmail.com,
278,DIDIER CHARITABLE TRUST,483/93-94,Trust,"Sy. No 146/3, Chagalatti Village, Bagalur Post, Bangalore NorthKarnataka562149 , Bangalore, BENGALURU URBAN (Karnataka) - 562149","Children, Differently Abled, Education & Literacy",ALL,morningstarblr@yahoo.com,
279,DIFFERENTLY ABLED CRICKET COUNCIL OF INDIA (DCCI),DRB3/SOR/610/2020-2021,Society,"C.A 39, 15 Cross, 16 Main, Sector-4, H.S.R Layout, Bangalore , Bengaluru East, BENGALURU URBAN (Karnataka) - 560102","Differently Abled, Sports, Skill Development",ALL,holydrop6@gmail.com,
280,Dimensions Centre for Child Development,251-IV,Trust,"No 1336, 2nd Cross, Nanjappa Layout, Babusapalya, Bangalore560043 , Bangalore, BENGALURU URBAN (Karnataka) - 560043","Children, Differently Abled",ALL,info@dccdglobal.com,http://www.dccdglobal.com/
281,DINESH FOUNDATION,BNGJNR202025,Trust,"No.946, Ground Floor, 24th Main Road, 2nd Phase, JP Nagar, Bangalore , Bengaluru South, BENGALURU URBAN (Karnataka) - 560078","Disaster Management, Education & Literacy, Environment & Forests, Health & Family Welfare, Land Resources",BENGALURU URBAN,dinesh.naik05@gmail.com,
282,Disability Entrepreneurship And Leadership Foundation,U74900KA2015NPL079410,Section 8 Company,"1272/28 25th A Main 9th Block Jayanagar , Bangalore, BENGALURU URBAN (Karnataka) - 560069","Agriculture, Animal Husbandry, Dairying & Fisheries, Differently Abled, Environment & Forests, Food Processing",ALL,surendra.shroff@deal-foundation.com,https://www.facebook.com/dealfoundationindia
283,DISABILITY NGOS ALLIANCE (DNA),DRO/SJN/SOR/23,Society,"Care of Association of People with Disability (APD), 6th Cross, Hutchins Road, Lingarajpuram , Bangalore, BENGALURU URBAN (Karnataka) - 560084","Children, Differently Abled",ALL,jyothi@dna-india.org,http://www.disabilityngosalliance.org/
284,Disability Rights India Foundation,110/18-19,Trust,"C1731, Brigade Meadows, 122, Saalu Hunase Village, Kanakapura Road, Kaggalipura, Udayapura, Bengaluru , Bengaluru South, BENGALURU URBAN (Karnataka) - 560082","Differently Abled, Aged/Elderly",ALL,rama_c@deoc.in,
285,DISCOVER MOMENTUM,BKN 417/2025-2016,Trust,"NO.181, 24TH B CROSS, JAYANAGAR 3RD BLOCK, BANGALORE-560011 , BANGALORE, BENGALURU URBAN (Karnataka) - 560011",Differently Abled,ALL,sumathir2002@gmail.com,
286,DITHYA JANSEVA TRUST,AADTD7538D,Trust,"No.3 Sobagu Nilaya behind Ganapathi Temple KSRTC Layout Chikkalasandra Bangalore 560061, Bangalore, BENGALURU URBAN (Karnataka) - 560061","Differently Abled, Aged/Elderly, Health & Family Welfare, HIV/AIDS",BENGALURU URBAN,Dithyajansevatrust@gmail.com,
287,Divine Educational and Charitable Trust,83/2007.08,Trust,"Mezzanine Floor, BMTC - TTMC Bldg, Domlur, Bengaluru - 560071, India , bangalore, BENGALURU URBAN (Karnataka) - 560071","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,biovision1@yahoo.com,
288,DIVINE LIGHT TRUST FOR THE BLIND,20/79-80,Trust,"Whitefield mainroad , Bangalore, BENGALURU URBAN (Karnataka) - 560066",Differently Abled,ALL,dltb@rediffmail.com,
289,DIVINE WALK TRUST (R),76/22-23,Trust,"No 5/50 2nd cross Shreegandha nagara hegganahalli vishwaneedam post bengaluru pin 560091 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560091","Education & Literacy, Aged/Elderly, Health & Family Welfare, Women's Development & Empowerment, Religious",BENGALURU URBAN,divinewalktrust@gmail.com,
290,DIVINITY IN HUMANITY,BK/IV/204/2024-25,Trust,"25/1, REGAL LAWS BUILDING, CHINNASWAMY MUDALIAR ROAD, 2ND CROSS, NEAR NANDI TOYOTO, QUEENS ROAD, BENGALURU-560051. , BENGALURU, BENGALURU URBAN (Karnataka) - 560051","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,DIVINITYINHUMANITYTRUST@GMAIL.COM,http://www.divinityinhumanity.org/
291,Diya Foundation Bangalore,386 98 99,Trust,"112 147 Chikkatayappa Reddy Layout Chelkere Kalyan Nagar Bangalore 560043 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560043","Differently Abled, Education & Literacy, Health & Family Welfare, Labour & Employment, Nutrition",ALL,diyafoundation@gmail.com,http://www.diyafoundation-india.org/
292,DMM Foundation,RJN-4-00005-2015-16,Trust,"No.320, LIG Houses, 6th Main, 1st Stage, KHB Colony, Basaveshwaranagar, Bangalore , Bengaluru North, BENGALURU URBAN (Karnataka) - 560079","Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare, Labour & Employment",BENGALURU URBAN,amshumanth.r@gmail.com,
293,DoctorsForSeva Arogya Foundation,U85100KA2014NPL073918,Section 8 Company,"35 Shri Rama Temple Street Jeevanhalli , Bangalore, BENGALURU URBAN (Karnataka) - 560005","Biotechnology, Children, Differently Abled, Disaster Management, Aged/Elderly",ALL,drdaya@aarogyaseva.org,http://aarogyaseva.in/
294,DP GROUP TRUST,JPN-4-00599-2023-24,Trust,"1249 VITTAL SQUARE 24TH MAIN 25TH B CROSS 02ND SECTOR HSR LAYOUT BANGALORE 560102 , BANGALORE, BENGALURU URBAN (Karnataka) - 560102","Art & Culture, Children, Differently Abled, Education & Literacy",ALL,dlpkmr306@gmail.com,
295,DR ABDUL KALAM PRAJA SAMITI,DRI-1/SOR/2302016-17,Society,"NO.51,,2ND CROSS ,P , BANGALORE, BENGALURU URBAN (Karnataka) - 560032","Children, Civic Issues, Dalit Upliftment, Differently Abled, Drinking Water",ALL,misluckyrao@gmail.com,
296,DR INDIA CHARITABLE TRUST,964/1475 BNSD353 400965-14-15,Trust,"NO 16 BOWEE LANE ASHOK NAGAR BANGALORE , Bangalore, BENGALURU URBAN (Karnataka) - 560025","Children, Differently Abled, Disaster Management, Drinking Water, Education & Literacy",ALL,hussisha@gmail.com,https://www.drindiacharitabletrust.in/
297,DR. ABDUL KALAM YOUTH AND CHARITABLE TRUST,INR-4-00432-2019-20,Trust,"No.376/A, 3rd Main, Anandapuram, New thippasandra , Bengaluru North, BENGALURU URBAN (Karnataka) - 560075","Children, Civic Issues, Dalit Upliftment, Differently Abled, Aged/Elderly",BENGALURU URBAN,dakyacharitabletrust2019@gmail.com,
298,Dream India network,2027/1993-94,Trust,"Registered office Dream India Network No.10(3)12th Main, 13th Cross Annapalayam, Adugodi Post, Bangalore- 560 030 karnataka Administrative office : 37, 6th cross, Sirsi Road Chamarajpet,Bengaluru- 560 018 , Bangalore, BENGALURU URBAN (Karnataka) - 560018","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,dreamindianetwork@gmail.com,
299,EBENEZER MISSION CHARITABLE TRUST,ABL-4-00012-2009-10,Trust,"Silicon Valley Town Doddanaga Mangalam Near Fortune Company Electronic City PO , Electronic City, BENGALURU URBAN (Karnataka) - 560100","Art & Culture, Children, Dalit Upliftment, Differently Abled, Disaster Management",ALL,psjacobdaniel@gmail.com,
300,ECCLESIA MINISTRIES INDIA,HLS-4-00687-2018-19,Trust,"No -5/1, 6th cross, SK Garden, Benson Town Post, Bengaluru 560046 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560046","Children, Differently Abled, Education & Literacy, Aged/Elderly, Religious",BENGALURU URBAN,vijaya.ecclesia1972@gmail.com,
301,EDEN SOCIO-WELFARE CHARITABLE TRUST,HLS-4-00310-2021-22,Trust,"NO 19 3RD BLOCK DASAPPA LAYOUT RAMAMURTHY NAGAR BANGALORE , BENGALURU, BENGALURU URBAN (Karnataka) - 560016","Children, Dalit Upliftment, Differently Abled, Education & Literacy, Aged/Elderly",ALL,edensociowelfaretrust.bj@gmail.com,
302,EDUCATE AND ORGANIZE,SOR/RJR/S-117/2013-14,Society,"NO 148, VADDARAHALLI VILLAGE, SY -NO 38, KADABAGERE POST, BANGALORE-562130 , BANGALORE, BENGALURU URBAN (Karnataka) - 562130","Dalit Upliftment, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,educateorganize3@gmail.com,http://educateandorganize.com/
303,EDWIN MEMORIAL TRUST,KRI-4-00125-2020-21,Trust,"No. 197, Krishnarajapuram, 3rd Cross, Kumbar Street, Bangalore - 560036. , Bengaluru North, BENGALURU URBAN (Karnataka) - 560036","Education & Literacy, Aged/Elderly, Health & Family Welfare, Human Rights, Religious",BENGALURU URBAN,edwinmemorialtrust@gmail.com,
304,Eka Educational and Charitable Trust,INR-4-00557-2018-19,Trust,"627, 22nd B Main Road, Sector-2, HSR Layout, Bangalore 560102 , Bangalore, BENGALURU URBAN (Karnataka) - 560102","Children, Differently Abled, Education & Literacy, Vocational Training, Skill Development",ALL,ekainclusion@gmail.com,https://www.ekainclusion.com/
305,Ekadantha Charitable Trust,616/18-19,Trust,"32, 9TH CROSS SANKALPA RESIDENTIAL LAYOUT NEAR OM SHAKTHI TEMPLE KALKERE , BANGALORE, BENGALURU URBAN (Karnataka) - 560043",Differently Abled,ALL,EkadanthaCharitabletrust@gmail.com,
306,EKAM ACADEMY,3973392,Trust,"11/8,Gandhinagar Road, Munnekolala Village, Marathahalli , Bangalore, BENGALURU URBAN (Karnataka) - 560037","Differently Abled, Education & Literacy",ALL,ekamacademy2025@gmail.com,
307,EKATHVA FOUNDATION,PNY-4-00087/18-19,Trust,"#128, Latha Dhama, 3rd Main, 3rd Cross Bhoomika Layout Hesaraghatta Main Road Bangalore , Bengaluru North, BENGALURU URBAN (Karnataka) - 560090","Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare, Women's Development & Empowerment",ALL,ekathvapresident@gmail.com,
308,EKYAM IMPACT FOUNDATION,U88100KA2O24NPL184245,Section 8 Company,"A 2602,Lake Varandha, House of Hirnandani, Begur Hobli, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560068",Differently Abled,ALL,lpjoshi3@gmail.com,
309,El Shaddai Agape Church Trust,IV-241/2018-19,Trust,"No.85, Chowdeshwari Nagar, Tathaguni, , Bengaluru South, BENGALURU URBAN (Karnataka) - 560082","Children, Differently Abled, Education & Literacy, Aged/Elderly, Women's Development & Empowerment",BENGALURU URBAN,elshaddaiagapechurch@gmail.com,
310,EL SHADDAI INTERNATIONAL WELFARE AND CHARITABLE TRUST,HLS-4-00039-2019-20,Trust,"No 28 Old cement Line Austin Town Bangalore 560047 , Bangalore, BENGALURU URBAN (Karnataka) - 560047","Children, Differently Abled, Aged/Elderly",ALL,devadasschristopher@gmail.com,
311,EL SHADDAI NEW LIFE,IV/60/2017-18,Trust,"AT NO. 26, KODIGEHALLI, KADUGODI POST. KR PURAM TALUK, BANGALORE- 560067 , BANGALORE, BENGALURU URBAN (Karnataka) - 560067","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,nagshankar90@gmail.com,
